Date,Open,High,Low,Close,Adj Close,Volume
2007-06-29,205.350006,205.899994,199.500000,202.300003,113.640205,500322
2007-07-02,200.199997,200.850006,198.500000,199.500000,113.090340,178123
2007-07-03,201.399994,202.850006,200.350006,201.649994,114.309090,371020
2007-07-04,202.550003,205.500000,201.699997,204.250000,115.782936,226041
2007-07-05,205.550003,205.600006,202.750000,204.000000,115.641251,168573
2007-07-06,204.000000,210.250000,202.250000,210.250000,119.184166,280849
2007-07-09,211.750000,214.300003,206.949997,208.449997,118.163803,327889
2007-07-10,205.600006,208.850006,204.300003,205.100006,116.264771,227945
2007-07-11,203.000000,204.149994,198.000000,203.199997,115.187729,245380
2007-07-12,203.199997,209.949997,201.850006,209.949997,119.014099,247813
2007-07-13,212.050003,212.899994,205.050003,208.300003,118.078789,437135
2007-07-16,208.949997,208.949997,205.550003,207.949997,117.880356,109261
2007-07-17,208.649994,208.649994,204.050003,204.850006,116.123070,247922
2007-07-18,202.600006,205.000000,202.100006,202.100006,114.564163,163221
2007-07-19,203.899994,205.649994,203.000000,204.699997,116.038048,370776
2007-07-20,203.300003,204.500000,198.350006,198.350006,112.438408,226008
2007-07-23,200.000000,206.899994,199.550003,204.500000,115.924675,268597
2007-07-24,203.350006,206.250000,202.050003,202.149994,114.592522,248698
2007-07-25,200.000000,205.000000,198.500000,201.500000,114.224060,263083
2007-07-26,200.250000,202.300003,192.699997,192.699997,109.235596,510927
2007-07-27,188.800003,191.500000,183.250000,186.949997,105.976135,786819
2007-07-30,187.899994,189.649994,185.300003,188.550003,106.883110,278908
2007-07-31,189.800003,192.500000,188.300003,190.750000,108.130219,211804
2007-08-01,190.750000,191.149994,183.899994,188.949997,107.109848,242849
2007-08-02,191.199997,194.000000,188.100006,189.949997,107.676720,186470
2007-08-03,190.399994,191.399994,184.800003,185.100006,104.927422,210689
2007-08-06,184.050003,189.949997,181.199997,183.949997,104.275520,228942
2007-08-07,186.199997,188.850006,182.050003,183.100006,103.793694,241594
2007-08-08,184.899994,199.000000,184.550003,197.550003,111.984940,452960
2007-08-09,198.000000,202.850006,193.100006,196.250000,111.248009,531537
2007-08-10,192.399994,195.050003,184.350006,186.649994,105.806061,504148
2007-08-13,188.350006,193.350006,185.300003,190.399994,107.931824,288723
2007-08-14,188.100006,189.050003,184.050003,185.449997,105.125809,246299
2007-08-15,182.899994,183.750000,180.149994,182.149994,103.255142,247629
2007-08-16,179.050003,179.050003,171.550003,171.550003,97.246338,415271
2007-08-17,172.800003,177.250000,168.500000,173.399994,98.295044,588677
2007-08-20,174.949997,178.699997,174.949997,176.949997,100.307419,320196
2007-08-21,177.250000,180.300003,175.149994,180.300003,102.206429,274367
2007-08-22,181.100006,186.000000,181.100006,183.949997,104.275520,226864
2007-08-23,184.199997,186.449997,178.800003,178.800003,101.356133,344971
2007-08-24,177.649994,180.000000,175.899994,179.300003,101.639557,195940
2007-08-27,180.800003,182.899994,177.550003,177.899994,100.845955,142724
2007-08-28,177.800003,180.000000,173.100006,173.100006,98.124985,502027
2007-08-29,172.050003,178.000000,171.100006,176.600006,100.109024,194800
2007-08-30,179.149994,179.850006,173.899994,177.550003,100.647552,119071
2007-08-31,179.250000,184.100006,177.600006,184.100006,104.360558,321368
2007-09-03,184.149994,188.500000,184.149994,187.500000,106.287895,152240
2007-09-04,187.300003,190.649994,184.649994,189.550003,107.449966,170000
2007-09-05,190.100006,190.149994,181.350006,182.000000,103.170135,323187
2007-09-06,182.500000,185.449997,173.500000,177.399994,100.562531,405682
2007-09-07,176.449997,179.000000,170.350006,170.350006,96.566093,251126
2007-09-10,170.500000,173.550003,160.000000,161.100006,91.322586,715391
